id,step_size,arena_diameter,1,2,3,4,5,6,7,8,9,10
A.semip_03,1.58,60,145,160,150,160,150,160,150,160,160,160
A.semip_03,1.58,100,145,160,155,160,155,155,165,165,165,160
A.semip_04,2.18,60,280,305,320,320,320,340,345,340,345,340
A.semip_04,2.18,100,285,310,325,330,325,350,345,345,345,345
A.semip_05,2.41,60,0,350,355,355,15,40,45,50,65,65
A.semip_05,2.41,100,0,0,0,0,40,50,50,50,65,65
A.semip_06,2.18,60,285,285,230,230,220,245,250,230,240,255
A.semip_06,2.18,100,285,280,230,230,220,255,255,235,245,260
A.semip_07,2.1,60,140,145,165,155,165,160,155,135,105,135
A.semip_07,2.1,100,145,145,165,155,165,160,155,125,110,125
A.semip_08,1.88,60,260,220,190,185,215,200,175,185,165,160
A.semip_08,1.88,100,255,215,190,195,210,195,170,185,170,160
A.semip_09,1.97,60,330,35,115,150,165,170,125,155,150,180
A.semip_09,1.97,100,330,45,120,155,165,170,130,155,160,175
A.semip_10,1.96,60,310,310,310,330,305,250,275,285,270,275
A.semip_10,1.96,100,310,310,310,330,310,250,280,285,270,280
A.semip_11,2.62,60,190,190,200,220,205,225,200,190,200,215
A.semip_11,2.62,100,200,190,210,225,210,230,210,210,210,215
A.semip_12,2.26,60,290,240,300,285,285,275,270,285,285,280
A.semip_12,2.26,100,290,295,295,285,280,275,275,295,285,275